"사업대분류명","사업중분류명","사업소분류명","사업명","사업내용","이용대상내용","이용방법내용","운영시간내용","문의처내용","대상아동나이","대상관심","대상지역","자세히보기사이트주소","신청하기사이트주소"
"임신","난임지원"," ","난임부부 지원","o 난임시술 비용의 본인부담액에 대한 시술별 지원상한액 지원      -(횟수) 출산당 총25회 (보조생식술 시작일이 '24.11.1.일 이후부터)      -(지원금액) 시술별 1회당 최대 30만원~110만원  o 난임시술 중단 의료비 지원('25.1.1. 일 이후 지원결정통지서 발급일 기준)       -(지원항목) 공난포, 미성숙난자 또는 비정상난자채취, 자궁내막불량, 난소저반응, 조기배란, 배란안됨, 기타 의학적 사유로 인한 시술 중단(개인사정제외)","- 서울시 모든 난임부부(사실혼 포함)","온라인 또는 보건소 방문 구비서류 제출  - 온라인 : 정부24(www.gov.kr), e보건소 공공포털(www.e-health.go.kr)  - 주소지 보건소 방문","해당없음","- 주소지 보건소 - 120다산콜센터","연령무관","임신 - 난임지원","서울시","https://seoul-agi.seoul.go.kr/ifc-csp","."
"육아","수당?급여"," ","만0~5세 보육료","① 기본보육료(월별) 만0세반: 540,000원 만1세반: 475,000원 만2세반: 394,000원 만3~5세: 280,000원  ② 연장보육료(월별) 0세반: 3,000원 영아반: 2,000원 유아반: 1,000원 장애아반: 3,000원","대한민국 국적을 보유 한 만 0~5세 영유아","동 주민센터, 복지로에서 신청","기본보육: 9:00~16:00 연장보육: 16:00~19:30","교육부 콜센터(02-6222-6060)","0세 ~ 5세","육아 - 수당?급여","서울시","https://www.easylaw.go.kr/CSP/CnpClsMainBtr.laf?csmSeq=626&ccfNo=2&cciNo=3&cnpClsNo=1","https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003250"
"안심돌봄","다양한 가족 지원","미혼모?부 양육지원 강화","미혼모?부 양육 코칭 지원","? 미혼모?부 대상 찾아가는 자녀양육코칭 (7회)         : 오리엔테이션 (1회)  →  양육 고민상담 및 교육(1회) → 전문가가 찾아가는 양육 솔루션(5회)      ? 미혼모?부 간 네트워크 형성 및 육아 자신감 고취를 위한 자조모임 커뮤니티 지원         : 구성원 모집 및 선정 → 임파워먼트 및 부모 교육 →  자조모임 지원(문화예술?역량 개발 등)           및 자녀와 함께하는 체험?여행 프로그램 지원","서울시 거주 자녀(만 12세 미만)를 양육하는 미혼모?부 누구나","서울시 가족다문화담당관(02-2133-8695) 문의","","서울시 가족다문화담당관(02-2133-8695)","0~2세,3~5세,6~9세,10세 이상","외출,문화,교육","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",".","."
"안심돌봄","다양한 가족 지원","청소년부모 지원 강화","양육비 지원 확대","자녀 1명당 아동양육비 월 20만원 추가 지원","기준 중위소득 90% 이하 청소년부모 가구의 자녀","거주 중인 자치구 동주민센터 신청","","서울시 가족다문화담당관(02-2133-8696)","0~2세,3~5세,6~9세,10세 이상","수당?급여","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",".","."
"육아","놀이?외출지원"," ","탄생응원 서울축제(2024년)(사업종료)","- 취지 : 저출생 시대 생명과 가족의 ‘위대한’ 탄생을 축하하고, 탄생의 소중한 기쁨과 행복을 널리 전파하고 되새길 수 있는 축제의 장 마련 - 행사주제 : '위대한 동행, 행복한 다둥이 가족' - 행사내용 : 공모전 당선작 시상, 서울엄빠 행복한 순간 영상 상영, 축하공연, 경품 추첨 등 - 행사일자 : 2024년 5월 25일 토요일 13:00~16:00","서울시 거주 다둥이 가족","- 신청 기간: 5/20~22 - 신청 방법: 축제 누리집(www.happyseoul.or.kr)에서 선착순 접수","","저출생담당관(02-2133-5018)","연령무관","육아 - 놀이?외출지원","서울시","https://www.happyseoul.or.kr/","."
"출산","생활지원"," ","저소득층 기저귀조제분유 취약계층 지원 (사회서비스전자바우처)","(출산가정/ⓧ/(기저귀)만2세 미만의 영아를 둔 기초생활보장, 차상위,, 한부모가족 수급 가구 대상. (조제분유)아동복지시설, 공동생활가정, 입양아동, 한부모 아동 등(별도 확인)/남여/기저귀, 조제분유 구매비용)","","","","관할보건소/주민센터","연령무관","출산 - 생활지원","서울시",".","."
"육아","돌봄지원"," ","서울장난감도서관","장난감?도서?놀이시설 등 육아용품 무상 대여","서울 거주 또는 소재 직장 가정의 영유아","","","서울장난감도서관","연령무관","육아 - 돌봄지원","서울시",".","."
"육아","돌봄지원"," ","공동육아방?공동육아나눔터","공간 제공, 육아정보 공유, 놀이?체험 프로그램 운영","6세 이하 영유아 및 보호자","","","우리동네키움포털","연령무관","육아 - 돌봄지원","서울시",".","."
"임신","건강지원"," ","맘편한 임신 원스톱서비스(임산부?출산전 제공)","임산부 엽산제?철분제 지급 등 임신 전?중 통합 서비스 제공","임산부","","","정부24, 관할 보건소","연령무관","임신 - 건강지원","서울시",".","."
"안심돌봄","다양한 가족 지원","미혼모?부 양육지원 강화","미혼부 양육비 신청 절차 간소화","양육비 신청 절차 간소화","자녀 출생신고 중인 미혼부 가정","법원에 출생신고 확인신청 후 소장(사본) 제출","","서울시 가족다문화담당관(02-2133-8698)","0~2세,3~5세,6~9세,10세 이상","수당?급여","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",".","."
"임신준비","건강지원"," ","난임부부 시술비 지원","o 난임시술 비용의 본인부담액에 대한 시술별 지원상한액 지원      -(횟수) 출산당 총25회 (보조생식술 시작일이 '24.11.1.일 이후부터)      -(지원금액) 시술별 1회당 최대 30만원~110만원      -(지원범위) 체외수정(신선배아, 동결배아), 인공수정 시술비 중 일부 및 전액본인 부담금, 비급여3종(배아동결비,유산방지제 및 착상보조제)  o 난임시술 중단 의료비 지원('25.1.1. 일 이후 지원결정통지서 발급일 기준)       -(지원항목) 공난포, 미성숙난자 또는 비정상난자채취, 자궁내막불량, 난소저반응, 조기배란, 배란안됨, 기타 의학적 사유로 인한 시술 중단(개인사정제외)","- 서울시 모든 난임부부(사실혼 포함)","온라인 또는 보건소 방문 구비서류 제출  - 온라인 : 정부24(www.gov.kr), e보건소 공공포털(www.e-health.go.kr)  - 주소지 보건소 방문","","- 주소지 보건소 - 120다산콜센터","연령무관","임신준비 - 건강지원","서울시","https://seoul-agi.seoul.go.kr/ifc-csp","."
"안심돌봄","다양한 가족 지원","미혼모?부 양육지원 강화","미혼모?부 자녀 양육 지원","병원비(아이의 입원?예방접종비) 및 양육용품(분유, 기저귀, 계절에 따른 의류, 유모차, 보행기 등) 지원","소득인정액 기준 중위소득 72% 이하 미혼모?부 가정","거주 중인 자치구 가족센터 신청","","서울시 가족다문화담당관(02-2133-8685)","0~2세,3~5세,6~9세,10세 이상","수당?급여","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",".","."
"안심돌봄","다양한 가족 지원","세자녀 가구 둘째부터 서울런 이용","세자녀 가구 둘째부터 서울런 이용","서울런 가입대상을 다자녀 가족까지 확대하여 온라인 학습 콘텐츠 및 1:1 맞춤형 멘토링 무료 지원","중위소득 85%에 더해 세자녀 이상 가구의 둘째부터 지원","서울시 교육지원정책과(02-2133-9279) 문의","","서울시 교육지원정책과(02-2133-9279)","6~9세,10세 이상","교육","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구","https://slearn.seoul.go.kr/front/mainView.do","."
"육아","돌봄지원"," ","아동수당","아동 1인당 월 10만원 지급(아동이 90일 이상 해외 체류하는 경우 지급 중단)","대한민국 국적을 보유(국적법에 따른 복수국적자 및 난민법에 따른 난민인정자 포함)하고  주민등록법에 따른 주민등록번호가 정상적으로 부여(사회복지 전산관리번호 부여 대상자 및 주민등록법에 따른 거주불명자 중 실제 거주지가 확인되는 자 포함)된  <b class='font-color-primary'> 만 8세 미만 아동(0~95개월)  </b>","거주지 관할 읍?면?동주민센터 방문신청 또는  복지로 온라인 신청 (<a href='https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001171'  target='_blank'> bokjiro.go.kr  </a>)","","보건복지부 콜센터 (129)","연령무관","육아 - 돌봄지원","서울시",".","https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001171"
"육아","돌봄지원"," ","가정양육수당","연령별로 월별 10~20만원 지원 ① 일반아동 24~86개월 미만: 100,000원 ② 장애아동 24개월~35개월 : 200,000원 36~86개월 미만: 100,000원 * 부모급여 및 보육료와 중복지급 불가","가정에서 양육하는 24개월 ~ 86개월 미만 초등학교 미취학 아동","동 주민센터, 복지로에서 신청","","교육부 콜센터(02-6222-6060)","연령무관","육아 - 돌봄지원","서울시","https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003253","https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003253"
"출산","일자리지원"," ","서울시 소상공인 휴업손실비용 지원사업","- 임신 및 출산으로 인한 휴업 기간 동안의 고정비(임차료, 공공요금)  - 휴업 일 최대 5만원 한도/최대 10일/50만원 한도","서울특별시 소상공인 전체 무료가입  - 청구일 기준 1년 이상 영업중인 소상공인  - 주민등록상의 거주지와 사업소재지가 모두 서울인 경우  - 사업주 및 배우자 포함  - 자세한 사항은 아래 안내 페이지 참조","o 지원기간 : 2025년 1월 1일~2025년 12월 31일  o 이용방법(필수) : KB손해보험 이메일 접수 (plan24@kbinsure.co.kr)  - 단계 1) 페이지 하단의 알아두실 사항 통해 제출 서류요건/지원 제외업종/청구방법 등 확인  - 단계 2) 청구서 양식 다운로드 후 작  - 단계 3) 준비한 서류와 함께 이메일 접수 ※ 어려움 있으실 경우 아래 문의 방법을 참고해주세요.","","전담 서비스 센터(☎1660-0435)  - 전담 카카오톡 채널(URL) https://pf.kakao.com/_xlxlKxbn  - 이메일: plan24@kbinsure.co.kr","연령무관","출산 - 일자리지원","서울시","https://bilci-seoul.info/","."
"일생활균형","일생활 균형문화 확산","양육친화적 기업문화정착","양육친화적 기업문화정착","서울소재 중소기업에 일?생활 균형 및 양육 친화적 기업문화를 확산하기 위해 경제단체 협력 기업 양육친화 문화확산 캠페인 추진","서울소재 중소기업","2023년으로 종료된 사업입니다.","","서울시 경제정책과(02-2133-5238)","임신?출산,0~2세,3~5세,6~9세,10세 이상","일생활균형","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",".","."
"(예비)신혼부부","결혼지원"," ","결혼 공감 토크 콘서트","청년세대 대상으로 달라진 결혼 가치관에 대한 사회적 공감대 형성과 고민을 나누고 결혼에 대한 긍정적 메시지 전달?확산을 위한 콘서트 개최","2030 청년세대","연애?결혼 등 관련 주제를 선정하여 토크 콘서트 개최","","서울특별시 1인가구지원과 02)2133-6157","연령무관","(예비)신혼부부 - 결혼지원","서울시","https://blog.naver.com/dakhosa/223240989132","."
"일생활균형","양육자 가사부담 완화","외국인 가사(육아)인력 시범사업","외국인 가사(육아)인력 시범사업","맞벌이 부부 등 ‘육아 조력자’의 도움이 절실한 자녀양육 가정에 외국인 육아도우미를 활용한 양육지원사업 도입","서울시 가족다문화담당관(02-2133-8682) 문의","서울시 가족다문화담당관(02-2133-8682) 문의","","서울시 가족다문화담당관(02-2133-8682)","0~2세,3~5세,6~9세,10세 이상","일생활균형","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",".","."
"육아","수당?급여"," ","방과후 보육료","① 정부지원시설 - 4시간 이용: 월 10만원 지원 - 종일 이용(방학 등): 월 20만원 지원  ② 정부미지원시설  - 4시간 이용: 월 233,650원  - 종일 이용: 월 467,300원   ③교사대아동 비율 1:3, 전담교사 배치된 반에 재원 장애아동 - 4시간 이용: 월 293,000원 - 일일 8시간 이상 이용 시 해당일 추가지원(보조금)","차상위 이하 또는 장애아동에 해당되는 취학아동이 방과후 어린이집을 일일 4시간 이상 이용하는 경우","동 주민센터, 복지로에서 신청","해당사항 없음","교육부 콜센터(02-6222-6060)","연령무관","육아 - 수당?급여","서울시","https://www.easylaw.go.kr/CSP/CnpClsMainBtr.laf?csmSeq=626&ccfNo=2&cciNo=3&cnpClsNo=1","https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001140"
"육아","돌봄지원"," ","서울형 시간제 전문 어린이집","가정양육 또는 타 기관 이용 보호자 등 누구나 필요시 시간 단위로 이용할 수 있는 보육서비스","6개월 이상 7세 이하 미취학 영유아(부모 또는 조부모 중 한 명 이상이 서울시에 거주하거나, 부모의 직장이 서울시인 경우)","이용 1일전까지 서울시보육포털서비스에서 신청(긴급 시 당일 12시까지 방문?유선접수 가능)","평일 07:30~19:30 (주말?공휴일 제외)","서울시 영유아담당관(02-2133-5116)","연령무관","육아 - 돌봄지원","서울시","https://iseoul.seoul.go.kr/portal/reservation/timeselInfo.do","https://iseoul.seoul.go.kr/portal/reservation/timeselList.do"
"육아","돌봄인프라"," ","우리동네키움센터 긴급?일시돌봄","돌봄이 필요한 아동에게 일시돌봄 서비스 제공","돌봄이 필요한 6~12세 아동 혹은 초등학생","우리동네키움포털 등으로 이용 희망 센터 돌봄서비스 신청 후 센터 승인을 거쳐 이용","* (일반형) 학기중 : 13시~20시 / 방학중 : 9시~18시 * (융합형) 학기중 : 13시~20시 / 방학중 : 8시~20시 #주말(토) 4시간 운영 * (거점형) 학기중 : 13시~20시 / 방학중 : 8시~20시 #주말(토) 10시~18시","이용 희망 센터(우리동네키움포털 홈페이지 참조)","6세 ~ 12세","육아 - 돌봄인프라","서울시","https://umppa.seoul.go.kr/icare/user/fcltyInfoManage/BD_selectCareCenterContactList.do?q_tap=1","https://umppa.seoul.go.kr/icare/user/careResve/BD_selectChilCareResveList.do"
"육아","돌봄지원"," ","병원동행 아이돌봄서비스","부모의 맞벌이 등으로 아픈 자녀의 병원 동행을 할 수 없는 경우 아이돌보미가 병원 동행 및 가정 내 돌봄 서비스 제공","비전염성 질병 감염, 예방접종, 정기검진 등으로 병원 내원이 필요한 양육공백 가정의 만 12세 이하 아동","아이돌봄서비스 (https://www.idolbom.go.kr/)에서 신청가능하며 이용가정의 상황에 맞춰 서비스제공기관(자치구 가족센터 등)에서 전담 돌보미를 연계","제한없음","서울시 가족담당관(02-2133-6558), 가까운 자치구 서비스제공기관(자치구 가족센터 등) 연결(1577-2514)","연령무관","육아 - 돌봄지원","서울시","https://icare.seoul.go.kr/icare/dolbomMENU2/dolbomMENU2_3/dolbomMENU2_3_1.jsp","https://www.idolbom.go.kr/front/login"
"양육","가사지원"," ","가정행복 도시락?밀키트?먹거리 할인","<span	class='color_blue'>다수 협력업체들의 협약종료 및 불경기 상황으로 인하여 2025. 6. 2. 쿠폰지급(5. 27. 신청마감)을 마지막으로, 가정행복 먹거리 밀키트 도시락 할인쿠폰 사업이 종료됩니다.  그동안 사업에 관심을 가져주시고 이용해주셔서 감사합니다. 좋은 사업으로 다시 돌아오겠습니다.</span>  <span	class='color_blue'>서울시 가정행복 도시락 밀키트 먹거리 할인쿠폰 협력사업은 종료됩니다만, 풀무원 측에서 당해 사업의 좋은 취지를 살려 우리 사업을 이용하시던 미성년 양육 가정에 할인 쿠폰 제공을 지속할 예정이라고 합니다.   [풀무원에서 아래와 같은 방법으로 쿠폰 수신을 유지하실 수 있음을 전달드립니다.] #풀무원 사이트(https://shop.pulmuone.co.kr/)에 회원가입하여 '마케팅 활용 동의/광고성 정보 수신동의'하신 분들을 대상으로 1년간 쿠폰 지급이 유지될 예정입니다. (마케팅 수신 및 광고성 정보 수신 미동의 혜택 제공 불가)  </span>  ※ 가정행복 도시락?밀키트?먹거리 할인지원 사업은 서울시 예산 지원 없이 협력사가 사회 공헌 차원에서 쿠폰 비용을 전액 부담하고 있는 사업입니다. ※ 신청 후 '승인대기' 상태로 보이는 것이 정상이며, 대상자에 해당하시는 경우 시스템상 승인 없이 다음달 1일(휴일인 경우 다음날) 쿠폰을 발송해드립니다.   지원 내용  ① 신선 식재료 '오아시스마켓'(https://www.oasis.co.kr/)  :  ‘3/6/9만 원 구매 시 5천/1만/1만 5천 원 할인쿠폰’ 총 4장    * 일부 타 기획전 할인쿠폰 중복 적용 가능(문자 발급 쿠폰 중복 적용 불가능)    * 오아시스마켓 배송상품 모두 사용 가능   ② 신선 식재료, 간편식, 냉동/냉장식품 '#(샵)풀무원'(https://shop.pulmuone.co.kr/)  : ‘3만/4만/8만 원 구매 시 6천/8천/2만원 할인쿠폰’ 각 1장, 총 3장    * 타 쿠폰 및 이벤트와 중복사용 불가  ③  건강한 도시락, 밀키트, 식재료 '그리팅'(https://www.greating.co.kr/)  :  ‘3만/5만 원 구매 시 7천/1만2천원 할인쿠폰’ 각 1장, 총 2장  ④  밀키트 전문 '마이셰프' (https://mychef.kr/)  : ‘2만/3만/5만 원 구매 시 3천/4.5천/7.5천원 할인쿠폰’ 각 1장, 총 3장  ※ GS편의점은 2023년 12월 말로 협약이 종료되었습니다. ※ 칙바이칙, 랭킹닭컴은 2024년 6월 말로 협약이 종료되었습니다. ※ CU, 프레시지, 허닭은 2024년 12월 말로 협약이 종료되었습니다. ※ 그리팅은 2025년 2월 말로 협약이 종료되었습니다.","서울시 거주 18세 이하 자녀 1명 이상 있는 가구(조손가구 포함) * 자녀가 2007. 1. 1. 이후 출생한 경우 신청 가능 * 부모(또는 조부모) 1명당 각각 자녀별 신청 가능","① 오아시스마켓: 문자로 받은 쿠폰 번호를 '오아시스마켓' 어플 또는 사이트에서 등록하여 사용 ② #(샵)풀무원: 문자로 받은 쿠폰 번호를 '#풀무원' 어플 또는 사이트에서 등록하여 온라인 주문 시 사용   ③ 그리팅:  문자로 받은 쿠폰 번호를 '그리팅' 어플 또는 사이트에서 등록하여 온라인 주문 시 사용 ④ 마이셰프:  문자로 받은 쿠폰 번호를 '마이셰프' 사이트에서 등록하여 온라인 주문 시 사용","1. 신청기간: 매월 20일(휴일인 경우 다음날) 0시 ~27일 23시 59분, 선착순 접수 2. 쿠폰지급: 신청 다음달 1일, 휴일인 경우 다음날","02-120 또는 서울시 가족담당관(02-2133-6551)","0세 ~ 18세","양육 - 가사지원","서울시",".","https://umppa.seoul.go.kr/hmpg/hehe/suea/difa/appl/applAgreRegistForm.do"
"육아","생활지원"," ","청소년 발달장애인 방과후활동서비스","(만 6세 이상 ~ 만18세 미만의 「장애인복지법」상 등록된 지적 및 자폐성 장애인을 지원/방과후활동 이용권(바우처) 월 66시간 제공)","","","","","연령무관","육아 - 생활지원","서울시",".","."
"양육","생활지원"," ","서울시 북스타트 엄마 북(Book)돋움 사업","엄마 북(Book)돋움 책꾸러미 상자 배송 (엄마아빠 육아정보도서 1권, 우리아이 첫책(그림책) 2권, 시 육아정책정보, 엄마북돋움 에코백)","서울시 거주 임산부(임신 3개월 ~ 출산 3개월)","ㅇ 임산부    - 임산부교통비지원 시스템에서 직접 온라인 신청 ㅇ 그 외(시스템 이용이 불가한 경우)   - 교통비를 지원받지 못한 임산부, 조손가정, 父子가정 등은 서울도서관에서 별도 이메일 신청   - 서울도서관 :  https://lib.seoul.go.kr/bbs/content/3_62822","","서울도서관 도서관정책과(02-2133-0224)","0세 ~ 1세","양육 - 생활지원","서울시","https://lib.seoul.go.kr/rwww/html/ko/bookUp.jsp","https://www.seoulmomcare.com/main/main.do"
"육아","교육지원"," ","국가보훈대상자 교육지원","(무공수훈자,보국수훈자,4?19혁명공로자,5.18기타희생자,특수임무 공로자 등/ 국가보훈대상자 수업료등 국비지원)","","","","","연령무관","육아 - 교육지원","서울시",".","."
"양육","놀이?외출지원"," ","탄생응원 서울축제","- 취지 : 저출생 시대 생명과 가족의 ‘위대한’ 탄생을 축하하고, 탄생의 소중한 기쁨과 행복을 널리 전파하고 되새길 수 있는 축제의 장 마련 - 행사주제 : '위대한 동행, 행복한 다둥이 가족' - 행사내용 : 공모전 당선작 시상, 서울엄빠 행복한 순간 영상 상영, 축하공연, 경품 추첨 등 - 행사일자 : 2024년 5월 25일 토요일 13:00~16:00","서울시 거주 다둥이 가족","- 신청 기간: 5/20~22 - 신청 방법: 축제 누리집(www.happyseoul.or.kr)에서 선착순 접수","","저출생담당관(02-2133-5018)","연령무관","양육 - 놀이?외출지원","서울시","https://www.happyseoul.or.kr/","https://www.happyseoul.or.kr/05"
"육아","수당?급여"," ","그 밖의 연장형 보육료 등","① 야간연장보육  일반아동: 시간당 4,000원 장애아동: 시간당 5,000원 지원한도: 월 60시간  ② 야간12시간 및 24시간(월별)  만0세: (야간)540,000원, (24시간)810,000원 만1세반: (야간)475,000원, (24시간)712,500원 만2세반: (야간)394,000원, (24시간)591,000원 만3~5세: (야간)280,000원, (24시간)420,000원  ③ 휴일 보육료 - 0~5세 부모보육료*휴일보육일수/해당 월 보육가능일수 - 휴일어린이집으로 미지정된 경우 지원금액의 150% 지원","(원칙) 만0~2세반 연장보육료, 만3~5세반 누리과정보육료, 다문화보육료 및 장애아보육료 지원아동","동 주민센터, 복지로에서 신청","① 야간연장보육료 : 평일 19:30~24:00 토요일 15:30~24:00 ② 야간12시간 보육료 : 19:30~익일 7:30  ③ 24시간 보육료 : 7:30~익일 7:30 ④휴일보육료 : 일요일 보육 등","교육부 콜센터(02-6222-6060)","0세 ~ 5세","육아 - 수당?급여","서울시","https://www.easylaw.go.kr/CSP/CnpClsMainBtr.laf?csmSeq=626&ccfNo=2&cciNo=3&cnpClsNo=1","https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001147"
"일생활균형","1인 자영업자?프리랜서 지원","","임산부 출산급여 지원","ㅇ 임산부 출산급여 90만원 지원     ※고용노동부 ‘고용보험 미적용자 출산급여’ 150만원에 추가지원","ㅇ 1인 자영업자 및 프리랜서 출산 여성      ※2024.4.22.이후 출산가구부터 지원    - 고용노동부(서울고용센터) ‘고용보험 미적용자 출산급여’ 기 수급자 일 것   - 신청일 기준 서울시 거주 및 자녀 서울시 출생신고","ㅇ 2025.1월   ※추후 사회보장제도 신설협의 과정에서 변동될 수 있음","","다산콜센터(02-120)","임신?출산","임신?출산 준비","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",".","."
"육아","생활지원"," ","서울엄마아빠VIP존","아이동반 외출 시, 양육자와 아이의 휴식이 가능하면서 수유?돌봄?놀이 등 육아편의를 제공하는 양육자를 위한 전용(VIP) 공간 조성 (적정 공간을 갖추고, 시설별 특성에 맞는 서비스를 제공) ① 기본형 : 아기쉼터, 기저귀교환대 등 육아편의 공간 제공 ② 휴식형 : 아이와 머무르며 쉬고 놀 수 있는 개방형 휴식공간 제공 ③ 완성형 : 양육자가 문화?여가생활을 할 수 있도록 돌봄?놀이공간 제공                                                                                                                            ※ 시설 여건 및 이용자 수요에 따라 조성","영유아 및 아이 동반 양육자","아트책보고, 세종문화회관 등 방문시 이용","시설별 상이","서울시 저출생담당관(02-2133-5031)","연령무관","육아 - 생활지원","서울시","https://map.seoul.go.kr/smgis2/short/6ONkG","."
"육아","돌봄지원"," ","초등돌봄시설 공공성 강화(지역아동센터)","돌봄, 교육 및 일부 급?간식비 지원","초등학교 1학년 ~ 6학년","서울시우리동네키움포털에 온라인 신청","09:00~20:00(평일-센터별 상이)","해당지역아동센터, 구청, 서울시 아동담당관(02-2133-5179)","연령무관","육아 - 돌봄지원","서울시","https://icare.seoul.go.kr/icare/user/fcltyInfoManage/BD_selectLocalCenterContactList.do?q_tap=1","."
"육아","교육지원"," ","서울특별시교육청 늘봄방과후학교 자유수강권 취약계층 지원","(서울특별시 내 초중고에 재학하는 저소득 가구 학생/늘봄방과후학교 수강료 지원/주민센터, 복지로 온라인 신청)","","","","","연령무관","육아 - 교육지원","서울시",".","."
"육아","교육지원"," ","청소년특별 취약계층 지원","(「청소년복지 지원법」제19조 제1항에 따른 교육적 선도 대상자 중에서 비행예방을 위하여 지원이 필요한 청소년 /생활지원,건강지원,학업지원,자립지원,상담지원,법률지원,활동지원,기타지원 지원종류별 금액 상이)","","","","","연령무관","육아 - 교육지원","서울시",".","."
"일생활균형","1인 자영업자?프리랜서 지원","","배우자 출산휴가 지원금","ㅇ 임산부 배우자를 둔 1인 자영업자?프리랜서에 배우자 출산휴가 지원금 80만원 지원","ㅇ 출산 배우자를 둔 1인 자영업자?프리랜서     ※2024.4.22.이후 출산가구부터 지원   - 신청일 기준 서울시 거주 및 자녀 서울시 출생신고   - 배우자 출산일 기준 사업장 운영(프리랜서는 용역계약유지 등) 및 출산일 전 18개월 중 3개월 이상의 소득활동이 있는 자","ㅇ 2025.1월   ※추후 사회보장제도 신설협의 과정에서 변동될 수 있음","","다산콜센터(02-120)","임신?출산","임신?출산 준비","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",".","."
"육아","돌봄인프라"," ","우리동네키움센터 방학중 중식 무료제공","센터 이용 아동 대상 방학중 중식 무료제공","돌봄이 필요한 6~12세 아동 혹은 초등학생","우리동네키움포털 등으로 이용 희망 센터 돌봄서비스 신청 후 센터 승인을 거쳐 이용","* (일반형) 학기중 : 13시~20시 / 방학중 : 9시~18시 * (융합형) 학기중 : 13시~20시 / 방학중 : 8시~20시 #주말(토) 4시간 운영","이용 희망 센터(우리동네키움포털 홈페이지 참조)","6세 ~ 12세","육아 - 돌봄인프라","서울시","https://umppa.seoul.go.kr/icare/user/careResve/BD_selectChilCareResveList.do","https://umppa.seoul.go.kr/icare/user/careResve/BD_selectChilCareResveList.do"
"출산","생활지원"," ","입양숙려기간 모자지원 사업","(출산(예정) 후의 미혼?이혼 한부모로써 다음 요건을 충족한 사람을 대상/미혼?이혼 한부모가 선택하는 서비스 이용 비용을 지원)","","","","관할주민센터","연령무관","출산 - 생활지원","서울시",".","."
